Res0sem_21D,Res0sem_18D,Res0sem_13C,Res0sem_09A,Res0sem_11B,Res0sem_03C,Res0sem_17C,Res0sem_03A,Res0sem_17B,Res0sem_07C,Res0sem_10B,Res0sem_13B,Res0sem_20C,Res0sem_11D,Res0sem_12C,Res0sem_20A,Res0sem_09B,Res0sem_06A,Res0sem_10C,Res0sem_16B,Res0sem_19A,Res0sem_12D,Res0sem_09C,Res0sem_10A,Res0sem_18A,Res0sem_12B,Res0sem_08A,Res0sem_04D,Res0sem_15B,Res0sem_01A,Res0sem_16C,Res0sem_21A,Res0sem_18C,Res0sem_04A,Res0sem_19B,Res0sem_19C,Res0sem_07A,Res0sem_12A,Res0sem_01D,Res0sem_07B,Res0sem_18B,Res0sem_09D,Res0sem_15C,Res0sem_21C,Res0sem_05D,Res0sem_05B,Res0sem_01C,Res0sem_14C,Res0sem_05C,Res0sem_02B,Res0sem_20D,Res0sem_08D,Res0sem_03D,Res0sem_02C,Res0sem_08B,Res0sem_01B,Res0sem_06D,Res0sem_19D,Res0sem_16D,Res0sem_20B,Res0sem_15D,Res0sem_04B,Res0sem_02A,Res0sem_06C,Res0sem_13A,Res0sem_11C,Res0sem_06B,Res0sem_03B,Res0sem_14B,Res0sem_14D,Res0sem_17A,Res0sem_08C,Res0sem_16A,Res0sem_13D,Res0sem_04C,Res0sem_02D,Res0sem_21B,Res0sem_07D,Res0sem_11A,Res0sem_15A,Res0sem_17D
72,0,2,33,13,7,1,14,1,11,14,0,4,21,3,4,15,5,12,2,62,1,3,13,2,3,2,6,1,2,1,6,1,20,33,56,4,3,43,6,2,14,19,4,11,5,3,0,1,4,5,2,9,10,1,0,21,8,1,7,14,23,5,6,1,24,9,7,1,0,29,3,2,1,5,9,7,20,3,25,3
1,0,1,0,13,9,1,0,0,12,1,1,1,130,5,4,30,0,0,11,2,2,21,0,68,4,6,0,1,0,2,0,0,0,0,1,6,3,0,8,38,6,35,0,3,1,0,0,8,0,7,17,0,0,12,1,0,1,2,3,0,1,5,0,1,212,4,0,2,1,1,3,0,2,1,57,0,8,5,0,0
2082,49,112,251,269,148,112,307,71,419,527,860,431,1037,392,164,108,99,372,173,1028,2176,97,809,82,729,100,1256,280,163,73,1009,79,329,998,1056,96,395,5369,145,92,791,63,215,238,101,136,87,57,181,57,95,227,239,169,283,1968,464,133,1273,190,501,185,93,102,737,144,322,106,52,1271,109,64,158,360,208,171,576,111,371,147
0,0,1,0,0,0,0,0,1,131,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,2,8,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,114,0,1,0
0,18,0,0,0,0,0,0,7,0,43,0,0,0,0,1,0,0,5,0,13,0,0,36,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,5,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20,4,0,0,0,139,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,9,0,0,0,5,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,109,0,0,0,0,0,0,0,2,0,0,0
2,157,15,55,7,1389,573,408,364,42,71,37,87,10,14,68,385,147,93,925,37,15,105,96,71,15,365,75,135,266,1972,4,69,41,75,31,491,11,76,124,39,670,16,0,169,145,41,375,42,103,93,3175,1417,165,707,836,449,69,3099,81,38,95,502,113,16,21,75,402,883,1504,115,1029,259,15,94,228,3,122,407,33,484
44,196,1,780,26,238,87,95,175,40,250,19,99,55,46,86,925,98,929,2803,448,9,311,213,1194,22,116,115,1054,51,300,874,209,188,480,210,93,26,55,86,90,1024,136,3,47,172,15,125,25,84,26,106,114,327,40,60,174,54,63,293,32,40,273,107,6,80,50,384,17,284,253,404,257,6,61,444,40,39,142,30,33
0,0,2,13,15,46,3,44,1,11,19,0,0,0,1,1,31,11,37,0,2,2,6,36,43,0,4,1,18,1,21,0,1,0,19,35,26,2,0,70,0,40,211,30,24,5,0,8,1,0,0,110,43,10,4,4,23,0,108,0,87,1,17,5,1,5,3,14,0,44,18,1,13,1,0,149,0,11,16,32,14
151,31,27,17,9,3,7,11,5,7,18,5,2,15,2,8,15,3,7,41,5,59,3,31,37,3,5,4,38,2,5,84,10,4,18,8,43,8,16,8,20,39,40,9,22,3,4,45,0,5,15,7,11,2,2,3,1,14,7,5,101,3,6,6,11,0,6,8,30,188,1,9,2,21,1,30,3,65,16,18,22
1,7,0,95,135,4,192,89,32,4,14,3,2,60,63,2,150,6,104,58,5,271,61,35,8,312,8,1,16,1,103,0,9,2,4,8,2,3,2,6,38,301,130,0,33,39,3,18,5,0,0,31,7,14,22,2,8,0,27,148,3,5,2,4,1,96,10,2,4,3,70,82,3,1,3,78,0,3,14,6,19
